P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.857,0.0,0.912,0.0,0.884,0.0,0.8875,0.0,0.911,0.0,0.9115,0.0,0.918,0.0
0.881,0.0,0.903,0.0,0.892,0.0,0.8952,0.0,0.911,0.0,0.9113,0.0,0.91,0.0
0.867,0.0,0.909,0.0,0.887,0.0,0.891,0.0,0.912,0.0,0.9128999999999999,0.0,0.914,0.0
0.878,0.0,0.907,0.0,0.892,0.0,0.8953999999999999,0.0,0.912,0.0,0.9122,0.0,0.918,0.0
0.871,0.0,0.91,0.0,0.89,0.0,0.8933,0.0,0.912,0.0,0.9122,0.0,0.918,0.0
0.873,0.0,0.905,0.0,0.889,0.0,0.8921999999999999,0.0,0.911,0.0,0.9119999999999999,0.0,0.911,0.0
0.895,0.0,0.908,0.0,0.901,0.0,0.9038999999999999,0.0,0.912,0.0,0.9123999999999999,0.0,0.91,0.0
0.891,0.0,0.906,0.0,0.898,0.0,0.9022,0.0,0.911,0.0,0.9119999999999999,0.0,0.92,0.0
0.878,0.0,0.902,0.0,0.89,0.0,0.8958999999999999,0.0,0.912,0.0,0.9127999999999998,0.0,0.923,0.0
0.842,0.0,0.9,0.0,0.87,0.0,0.8785000000000001,0.0,0.912,0.0,0.9128999999999999,0.0,0.923,0.0
0.858,0.0,0.905,0.0,0.881,0.0,0.8894,0.0,0.913,0.0,0.9134,0.0,0.915,0.0
0.857,0.0,0.911,0.0,0.883,0.0,0.8909999999999998,0.0,0.913,0.0,0.9134,0.0,0.917,0.0
0.859,0.0,0.913,0.0,0.885,0.0,0.8939,0.0,0.914,0.0,0.9141,0.0,0.922,0.0
0.879,0.0,0.906,0.0,0.892,0.0,0.8966000000000001,0.0,0.913,0.0,0.9133999999999999,0.0,0.923,0.0
0.852,0.0,0.904,0.0,0.878,0.0,0.8819000000000001,0.0,0.913,0.0,0.9136999999999998,0.0,0.923,0.0
0.871,0.0,0.899,0.0,0.885,0.0,0.8907,0.0,0.913,0.0,0.9132,0.0,0.914,0.0
0.876,0.0,0.911,0.0,0.893,0.0,0.8950999999999999,0.0,0.913,0.0,0.9139000000000002,0.0,0.916,0.0
0.867,0.0,0.905,0.0,0.886,0.0,0.8896999999999998,0.0,0.913,0.0,0.9132,0.0,0.913,0.0
0.893,0.0,0.895,0.0,0.894,0.0,0.8966000000000001,0.0,0.914,0.0,0.9138999999999999,0.0,0.918,0.0
0.865,0.0,0.908,0.0,0.886,0.0,0.8897,0.0,0.913,0.0,0.9136,0.0,0.922,0.0
0.858,0.0,0.9,0.0,0.878,0.0,0.8821999999999999,0.0,0.914,0.0,0.9141,0.0,0.915,0.0
0.86,0.0,0.916,0.0,0.887,0.0,0.89,0.0,0.913,0.0,0.9138,0.0,0.915,0.0
0.9,0.0,0.903,0.0,0.902,0.0,0.9029999999999999,0.0,0.914,0.0,0.9145,0.0,0.919,0.0
0.869,0.0,0.909,0.0,0.889,0.0,0.8913999999999997,0.0,0.913,0.0,0.9134,0.0,0.926,0.0
0.871,0.0,0.912,0.0,0.891,0.0,0.8935000000000001,0.0,0.914,0.0,0.9146000000000001,0.0,0.92,0.0
0.854,0.0,0.911,0.0,0.882,0.0,0.882,0.0,0.913,0.0,0.9136000000000001,0.0,0.922,0.0
0.861,0.0,0.9,0.0,0.88,0.0,0.8837999999999999,0.0,0.914,0.0,0.9145,0.0,0.916,0.0
0.881,0.0,0.911,0.0,0.896,0.0,0.8975,0.0,0.914,0.0,0.914,0.0,0.92,0.0
0.878,0.0,0.916,0.0,0.897,0.0,0.9000999999999999,0.0,0.914,0.0,0.9148000000000002,0.0,0.92,0.0
0.89,0.0,0.907,0.0,0.898,0.0,0.8984,0.0,0.914,0.0,0.9144,0.0,0.922,0.0
0.837,0.0,0.906,0.0,0.87,0.0,0.8739000000000001,0.0,0.915,0.0,0.9151000000000001,0.0,0.927,0.0
0.895,0.0,0.902,0.0,0.899,0.0,0.9004,0.0,0.914,0.0,0.9148000000000002,0.0,0.923,0.0
0.86,0.0,0.911,0.0,0.885,0.0,0.8882999999999999,0.0,0.915,0.0,0.9155000000000001,0.0,0.928,0.0
0.883,0.0,0.904,0.0,0.893,0.0,0.8959000000000001,0.0,0.914,0.0,0.9144,0.0,0.918,0.0
0.885,0.0,0.904,0.0,0.894,0.0,0.8962999999999999,0.0,0.915,0.0,0.9154,0.0,0.924,0.0
0.843,0.0,0.905,0.0,0.873,0.0,0.8765000000000001,0.0,0.914,0.0,0.9149,0.0,0.927,0.0
0.86,0.0,0.902,0.0,0.88,0.0,0.8849,0.0,0.915,0.0,0.9153,0.0,0.923,0.0
0.867,0.0,0.909,0.0,0.887,0.0,0.8902000000000001,0.0,0.914,0.0,0.9148,0.0,0.916,0.0
0.903,0.0,0.91,0.0,0.907,0.0,0.9090999999999999,0.0,0.915,0.0,0.9156999999999998,0.0,0.924,0.0
0.885,0.0,0.901,0.0,0.893,0.0,0.8942,0.0,0.915,0.0,0.9156000000000001,0.0,0.929,0.0
0.883,0.0,0.906,0.0,0.894,0.0,0.8957,0.0,0.916,0.0,0.9160999999999999,0.0,0.922,0.0
0.863,0.0,0.912,0.0,0.887,0.0,0.8914,0.0,0.916,0.0,0.9158,0.0,0.924,0.0
0.894,0.0,0.904,0.0,0.899,0.0,0.8999,0.0,0.915,0.0,0.9156999999999998,0.0,0.919,0.0
0.883,0.0,0.911,0.0,0.897,0.0,0.8998000000000002,0.0,0.915,0.0,0.9153,0.0,0.925,0.0
0.862,0.0,0.905,0.0,0.883,0.0,0.8898999999999999,0.0,0.916,0.0,0.9162000000000001,0.0,0.922,0.0
0.843,0.0,0.909,0.0,0.874,0.0,0.8836999999999999,0.0,0.916,0.0,0.9162000000000001,0.0,0.915,0.0
0.867,0.0,0.918,0.0,0.892,0.0,0.8959000000000001,0.0,0.917,0.0,0.9167,0.0,0.904,0.0
0.87,0.0,0.909,0.0,0.889,0.0,0.8939999999999999,0.0,0.917,0.0,0.9168,0.0,0.916,0.0
0.838,0.0,0.911,0.0,0.873,0.0,0.8789999999999999,0.0,0.917,0.0,0.9168,0.0,0.918,0.0
0.832,0.0,0.921,0.0,0.875,0.0,0.883,0.0,0.917,0.0,0.9178000000000001,0.0,0.911,0.0
0.841,0.0,0.911,0.0,0.875,0.0,0.8846,0.0,0.918,0.0,0.9180000000000001,0.0,0.913,0.0
0.855,0.0,0.904,0.0,0.879,0.0,0.8846999999999999,0.0,0.918,0.0,0.9178000000000001,0.0,0.91,0.0
0.853,0.0,0.922,0.0,0.886,0.0,0.8918999999999999,0.0,0.917,0.0,0.9175000000000001,0.0,0.914,0.0
0.855,0.0,0.916,0.0,0.884,0.0,0.8911,0.0,0.918,0.0,0.9178000000000001,0.0,0.914,0.0
0.847,0.0,0.882,0.0,0.864,0.0,0.8724000000000001,0.0,0.918,0.0,0.9180999999999999,0.0,0.92,0.0
0.847,0.0,0.889,0.0,0.868,0.0,0.8705999999999999,0.0,0.917,0.0,0.9176,0.0,0.907,0.0
0.871,0.0,0.889,0.0,0.88,0.0,0.8844,0.0,0.918,0.0,0.9179,0.0,0.912,0.0
0.872,0.0,0.913,0.0,0.892,0.0,0.8974,0.0,0.918,0.0,0.9183999999999999,0.0,0.916,0.0
0.869,0.0,0.877,0.0,0.873,0.0,0.8776999999999999,0.0,0.918,0.0,0.9183999999999999,0.0,0.92,0.0
0.886,0.0,0.9,0.0,0.893,0.0,0.8926999999999999,0.0,0.918,0.0,0.9186,0.0,0.918,0.0
0.874,0.0,0.914,0.0,0.894,0.0,0.8976000000000001,0.0,0.918,0.0,0.9185000000000001,0.0,0.925,0.0
0.88,0.0,0.908,0.0,0.894,0.0,0.8978999999999999,0.0,0.918,0.0,0.9188000000000001,0.0,0.924,0.0
0.873,0.0,0.912,0.0,0.892,0.0,0.8953000000000001,0.0,0.919,0.0,0.9189999999999999,0.0,0.923,0.0
0.871,0.0,0.92,0.0,0.895,0.0,0.9000999999999999,0.0,0.918,0.0,0.9187,0.0,0.924,0.0
0.888,0.0,0.912,0.0,0.9,0.0,0.9031999999999998,0.0,0.919,0.0,0.9196,0.0,0.925,0.0
