P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std
0.92,0.0,0.935,0.0,0.927,0.0,0.931,0.0,0.9476666666666667,0.0,0.9503333333333334,0.0
0.909,0.0,0.944,0.0,0.926,0.0,0.931,0.0,0.9468333333333333,0.0,0.9506666666666668,0.0
0.919,0.0,0.944,0.0,0.932,0.0,0.923,0.0,0.9496666666666668,0.0,0.9461666666666666,0.0
0.923,0.0,0.938,0.0,0.93,0.0,0.932,0.0,0.9505,0.0,0.9499999999999998,0.0
0.917,0.0,0.941,0.0,0.929,0.0,0.928,0.0,0.9475000000000001,0.0,0.9491666666666667,0.0
0.925,0.0,0.932,0.0,0.928,0.0,0.929,0.0,0.9471666666666666,0.0,0.9483333333333333,0.0
0.925,0.0,0.938,0.0,0.931,0.0,0.928,0.0,0.9508333333333333,0.0,0.9496666666666668,0.0
0.927,0.0,0.932,0.0,0.929,0.0,0.93,0.0,0.9478333333333334,0.0,0.9500000000000001,0.0
0.929,0.0,0.942,0.0,0.936,0.0,0.932,0.0,0.9531666666666667,0.0,0.9514999999999999,0.0
0.928,0.0,0.933,0.0,0.931,0.0,0.93,0.0,0.9506666666666667,0.0,0.9503333333333334,0.0
0.932,0.0,0.939,0.0,0.936,0.0,0.926,0.0,0.9535,0.0,0.9483333333333333,0.0
0.93,0.0,0.935,0.0,0.932,0.0,0.934,0.0,0.9501666666666666,0.0,0.9528333333333333,0.0
0.934,0.0,0.931,0.0,0.932,0.0,0.931,0.0,0.9501666666666667,0.0,0.9508333333333333,0.0
0.932,0.0,0.933,0.0,0.933,0.0,0.928,0.0,0.9503333333333334,0.0,0.9480000000000001,0.0
0.93,0.0,0.936,0.0,0.933,0.0,0.927,0.0,0.9508333333333333,0.0,0.9471666666666666,0.0
0.935,0.0,0.921,0.0,0.928,0.0,0.934,0.0,0.9468333333333333,0.0,0.952,0.0
0.933,0.0,0.932,0.0,0.933,0.0,0.929,0.0,0.9501666666666667,0.0,0.9481666666666667,0.0
0.934,0.0,0.93,0.0,0.932,0.0,0.928,0.0,0.9506666666666667,0.0,0.9481666666666667,0.0
0.934,0.0,0.925,0.0,0.93,0.0,0.932,0.0,0.9483333333333333,0.0,0.9518333333333332,0.0
0.934,0.0,0.932,0.0,0.933,0.0,0.931,0.0,0.9508333333333333,0.0,0.9498333333333333,0.0
0.936,0.0,0.93,0.0,0.933,0.0,0.928,0.0,0.9525,0.0,0.9473333333333334,0.0
0.928,0.0,0.931,0.0,0.929,0.0,0.934,0.0,0.9485,0.0,0.9523333333333333,0.0
0.926,0.0,0.935,0.0,0.931,0.0,0.934,0.0,0.9424999999999999,0.0,0.9515000000000001,0.0
0.935,0.0,0.936,0.0,0.936,0.0,0.931,0.0,0.9538333333333333,0.0,0.9496666666666665,0.0
0.928,0.0,0.933,0.0,0.93,0.0,0.932,0.0,0.9498333333333333,0.0,0.9515000000000001,0.0
0.936,0.0,0.932,0.0,0.934,0.0,0.934,0.0,0.9523333333333334,0.0,0.9526666666666667,0.0
0.938,0.0,0.928,0.0,0.933,0.0,0.936,0.0,0.9505,0.0,0.9543333333333335,0.0
0.931,0.0,0.928,0.0,0.929,0.0,0.935,0.0,0.9473333333333334,0.0,0.952,0.0
